Joshua Project People Group Data

PeopleID3,PeopName,PeopleID1,AffinityBloc,PeopleID2,PeopleCluster,ROP3,ROP25,ROP25Name,PopulationPGAC,JPScalePGAC,LeastReachedPGAC,FrontierPGAC,CntPGIC,CntUPG,PopulationUPG,CntFPG,PopulationFPG,ROG3Largest,CtryLargest,ROL3PGAC,PrimaryLanguagePGAC,RLG3PGAC,PrimaryReligionPGAC,PercentChristianPGAC,PctChristianRangePGAC,PercentEvangelicalPGAC,PctEvangelicalRangePGAC,PeopleID3General
10136,"Abu Sharib",22,"Sub-Saharan Peoples",264,Ouaddai-Fur,100027,300020,"Abu Sharib",107000,1,Y,Y,1,1,107000,1,107000,CD,Chad,mgb,Mararit,6,Islam,0.0100,0-0.1%,0.0090,0-0.1%,
22457,Abu-Junuk,22,"Sub-Saharan Peoples",248,"Nuba Mountains",119453,309368,Abu-Junuk,11000,1,Y,Y,1,1,11000,1,11000,SU,Sudan,apd,"Arabic, Sudanese",6,Islam,0.0000,0-0.1%,0.0000,0-0.1%,
10137,Abua,22,"Sub-Saharan Peoples",140,Benue,100028,300021,Abua,56000,5,,,1,0,0,0,0,NI,Nigeria,abn,Abua,1,Christianity,86.0000,50-100%,11.0000,10-50%,
10138,Abui,17,"Malay Peoples",171,Flores-Sumba-Alor,100029,300022,Abui,30000,5,,,1,0,0,0,0,ID,Indonesia,abz,Abui,1,Christianity,50.0000,10-50%,12.0000,10-50%,
10139,Abun,19,"Pacific Islanders",244,"New Guinea",100030,300023,Abun,13000,5,,,1,0,0,0,0,ID,Indonesia,kgr,Abun,1,Christianity,60.0000,50-100%,13.0000,10-50%,
10141,Abure,22,"Sub-Saharan Peoples",181,Guinean,100032,300024,Abure,121000,4,,,1,0,0,0,0,IV,"Côte d'Ivoire",abu,Abure,1,Christianity,92.0000,50-100%,7.0000,5-10%,
10144,Acehnese,17,"Malay Peoples",101,"Aceh of Sumatra",100036,300028,Acehnese,4237000,1,Y,,2,2,4237000,1,94000,ID,Indonesia,ace,Aceh,6,Islam,0.1180,0.1-2%,0.0060,0-0.1%,
10145,Achagua,16,"Latin-Caribbean Americans",290,"South American Indigenous",100037,300029,Achagua,1000,5,,,1,0,0,0,0,CO,Colombia,aca,Achagua,1,Christianity,70.0000,50-100%,12.0000,10-50%,
10146,Achang,23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",100038,300030,Achang,83000,5,,,2,0,0,0,0,CH,China,acn,Achang,4,"Ethnic Religions",15.0140,10-50%,13.1280,10-50%,
18384,"Achang, Husa",23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",113977,300030,Achang,7500,1,Y,,1,1,7500,0,0,CH,China,acn,Achang,4,"Ethnic Religions",2.0000,0.1-2%,2.0000,0.1-2%,
10147,Ache,16,"Latin-Caribbean Americans",290,"South American Indigenous",100040,300032,Ache,2000,4,,,1,0,0,0,0,PA,Paraguay,guq,Ache,4,"Ethnic Religions",18.0000,10-50%,8.0000,5-10%,
18804,Acheron,22,"Sub-Saharan Peoples",248,"Nuba Mountains",114498,300033,Acheron,29000,5,,,1,0,0,0,0,SU,Sudan,acz,Acheron,1,Christianity,95.0000,50-100%,70.0000,50-100%,
11442,"Achi, Cubulco",16,"Latin-Caribbean Americans",257,"Central American Indigenous, other",102326,300034,Achi,84000,4,,,1,0,0,0,0,GT,Guatemala,acr,Achi,4,"Ethnic Religions",30.0000,10-50%,6.0000,5-10%,
14510,"Achi, Rabinal",16,"Latin-Caribbean Americans",257,"Central American Indigenous, other",108254,300034,Achi,84000,5,,,1,0,0,0,0,GT,Guatemala,acr,Achi,1,Christianity,99.0000,50-100%,12.0000,10-50%,
10148,Achipawa,22,"Sub-Saharan Peoples",140,Benue,100041,300035,"Achipa (Achipawa)",22000,4,,,1,0,0,0,0,NI,Nigeria,acp,"Acipa, Eastern",4,"Ethnic Religions",20.0000,10-50%,4.0000,2-5%,
10149,Acholi,22,"Sub-Saharan Peoples",245,Nilotic,100042,300036,Acholi,2406000,5,,,2,0,0,0,0,UG,Uganda,ach,Acholi,1,Christianity,96.7100,50-100%,40.0580,10-50%,
10150,"Achuar Jivaro",16,"Latin-Caribbean Americans",290,"South American Indigenous",100045,300037,"Achuar Jivaro",11800,2,,,2,0,0,0,0,EC,Ecuador,acu,Achuar-Shiwiar,4,"Ethnic Religions",14.3730,10-50%,1.3730,0.1-2%,
10151,Achumawi,18,"North American Peoples",246,"North American Indigenous",100046,300038,Achumawi,1100,4,,,1,0,0,0,0,US,"United States",eng,English,1,Christianity,60.0000,50-100%,3.0000,2-5%,
10152,Acipanci,22,"Sub-Saharan Peoples",140,Benue,100047,300035,"Achipa (Achipawa)",47000,4,,,1,0,0,0,0,NI,Nigeria,awc,Cicipu,6,Islam,25.0000,10-50%,5.1540,5-10%,
15832,Acona,16,"Latin-Caribbean Americans",108,Amazon,110637,308685,Wakona,200,3,,,1,0,0,0,0,BR,Brazil,por,Portuguese,1,Christianity,80.0000,50-100%,2.0000,0.1-2%,
16158,"Ad Dharmi",21,"South Asian Peoples",412,"South Asia Dalit - other",111259,300039,"Ad Dharmi / Adi Dharmi",1047000,1,Y,,1,1,1047000,0,0,IN,India,pan,"Punjabi, Eastern",5,Hinduism,0.3370,0.1-2%,,Unknown,
10153,Adabe,17,"Malay Peoples",305,Timor,100050,300040,Adabe,9200,4,,,1,0,0,0,0,TT,Timor-Leste,adb,Atauran,1,Christianity,64.0000,50-100%,2.5000,2-5%,
10154,"Adan, Adangbe",22,"Sub-Saharan Peoples",181,Guinean,100052,300042,Adangbe,13400,5,,,2,0,0,0,0,GH,Ghana,adq,Adangbe,1,Christianity,95.0000,50-100%,15.1690,10-50%,
19539,Adang,17,"Malay Peoples",171,Flores-Sumba-Alor,115031,300041,Adang,3300,4,,,1,0,0,0,0,ID,Indonesia,adn,Adang,1,Christianity,70.0000,50-100%,4.0000,2-5%,
12404,Adara,22,"Sub-Saharan Peoples",140,Benue,104379,303460,Adara,439000,4,,,1,0,0,0,0,NI,Nigeria,kad,Adara,1,Christianity,55.0000,50-100%,7.5000,5-10%,
22575,Adek,20,"Southeast Asian Peoples",239,Mon-Khmer,119511,303812,Katu,500,1,Y,Y,1,1,500,1,500,LA,Laos,kuf,"Katu, Western",4,"Ethnic Religions",0.0000,0-0.1%,0.0000,0-0.1%,0
10156,Adele,22,"Sub-Saharan Peoples",181,Guinean,100059,300045,Adele,68000,4,,,2,0,0,0,0,TO,Togo,ade,Adele,4,"Ethnic Religions",20.0000,10-50%,5.3380,5-10%,
18386,Adi,21,"South Asian Peoples",103,Adi,113979,300047,Adi,75000,4,,,3,2,4000,2,4000,IN,India,adi,Adi,9,Unknown,20.8550,10-50%,7.8560,5-10%,
16162,"Adi Andhra",21,"South Asian Peoples",412,"South Asia Dalit - other",111264,300048,"Adi Andhra",310800,1,Y,,2,2,310800,1,800,IN,India,tel,Telugu,5,Hinduism,0.8490,0.1-2%,0.4260,0.1-2%,
21610,"Adi Andhra Christian",21,"South Asian Peoples",404,"South Asia Christian",118360,300048,"Adi Andhra",19000,3,,,1,0,0,0,0,IN,India,tel,Telugu,1,Christianity,100.0000,50-100%,,Unknown,
16164,"Adi Dravida",21,"South Asian Peoples",412,"South Asia Dalit - other",111266,300049,"Adi Dravida",8642000,1,Y,Y,1,1,8642000,1,8642000,IN,India,tam,Tamil,5,Hinduism,0.0950,0-0.1%,,Unknown,
21600,"Adi Dravida Christian",21,"South Asian Peoples",404,"South Asia Christian",118361,300049,"Adi Dravida",662000,3,,,1,0,0,0,0,IN,India,tam,Tamil,1,Christianity,100.0000,50-100%,,Unknown,
16165,"Adi Gallong",21,"South Asian Peoples",103,Adi,111267,300047,Adi,18000,2,,,1,0,0,0,0,IN,India,adl,"Adi, Galo",9,Unknown,40.0600,10-50%,,Unknown,
16166,"Adi Karnataka",21,"South Asian Peoples",412,"South Asia Dalit - other",111268,300050,"Adi Karnataka",2988000,1,Y,,1,1,2988000,0,0,IN,India,kan,Kannada,5,Hinduism,0.5130,0.1-2%,,Unknown,
21589,"Adi Karnataka Christian",21,"South Asian Peoples",404,"South Asia Christian",118362,300050,"Adi Karnataka",177000,3,,,1,0,0,0,0,IN,India,kan,Kannada,1,Christianity,100.0000,50-100%,,Unknown,
16167,"Adi Minyong",21,"South Asian Peoples",103,Adi,111269,300047,Adi,24000,2,,,1,0,0,0,0,IN,India,adi,Adi,9,Unknown,17.7620,10-50%,,Unknown,
16168,"Adi Padam",21,"South Asian Peoples",103,Adi,111270,300047,Adi,14000,2,,,1,0,0,0,0,IN,India,adi,Adi,9,Unknown,30.1040,10-50%,,Unknown,
16169,"Adi Pasi",21,"South Asian Peoples",103,Adi,111271,300047,Adi,3100,2,,,1,0,0,0,0,IN,India,adi,Adi,9,Unknown,19.9800,10-50%,,Unknown,
17939,"Adi Ramo",21,"South Asian Peoples",103,Adi,113427,300047,Adi,1600,5,,,2,1,200,1,200,IN,India,adi,Adi,9,Unknown,40.0490,10-50%,15.0870,10-50%,
20054,"Adibasi Janajati",21,"South Asian Peoples",442,"South Asia Hindu - other",115688,300051,Adibasi,1200,1,Y,Y,1,1,1200,1,1200,NP,Nepal,npi,Nepali,5,Hinduism,0.0000,0-0.1%,0.0000,0-0.1%,
16171,Adiyan,21,"South Asian Peoples",475,"South Asia Tribal - other",111273,300053,Adiyan,17000,1,Y,,1,1,17000,0,0,IN,India,mal,Malayalam,5,Hinduism,0.7730,0.1-2%,,Unknown,
10159,Adjora,19,"Pacific Islanders",244,"New Guinea",100075,300054,Adjora,8600,5,,,1,0,0,0,0,PP,"Papua New Guinea",ado,Abu,1,Christianity,91.0000,50-100%,22.0000,10-50%,
10162,Adjoukrou,22,"Sub-Saharan Peoples",181,Guinean,100081,300060,Adyukru,204000,4,,,1,0,0,0,0,IV,"Côte d'Ivoire",adj,Adioukrou,1,Christianity,90.0000,50-100%,3.0000,2-5%,
20718,Adnyamathanha,19,"Pacific Islanders",100,"Australian Aboriginal",100080,300059,Adynyamathanha,200,4,,,1,0,0,0,0,AS,Australia,eng,English,1,Christianity,70.0000,50-100%,3.0000,2-5%,
19289,Adonara,17,"Malay Peoples",171,Flores-Sumba-Alor,115032,300055,Adonara,120000,4,,,1,0,0,0,0,ID,Indonesia,adr,Adonara,1,Christianity,70.0000,50-100%,6.0000,5-10%,
18387,Adu,23,"Tibetan-Himalayan Peoples",317,"Tibeto-Burman, other",113980,300056,Adu,8100,1,Y,Y,1,1,8100,1,8100,CH,China,cmn,"Chinese, Mandarin",7,Non-Religious,0.0000,0-0.1%,0.0000,0-0.1%,
10160,Aduge,22,"Sub-Saharan Peoples",181,Guinean,100078,300057,Aduge,4300,4,,,1,0,0,0,0,NI,Nigeria,adu,Aduge,4,"Ethnic Religions",25.0000,10-50%,5.0000,2-5%,
10161,Adyghe,12,"Eurasian Peoples",157,Caucasus,100079,300058,Adyghe,458000,1,Y,Y,10,10,458000,9,426000,TU,"Türkiye (Turkey)",ady,Adyghe,6,Islam,0.0610,0-0.1%,0.0350,0-0.1%,
19641,Adzera,19,"Pacific Islanders",244,"New Guinea",100674,300625,"Azera (Adzera)",59000,5,,,1,0,0,0,0,PP,"Papua New Guinea",adz,Adzera,1,Christianity,85.0000,50-100%,15.0000,10-50%,
22576,Ae,20,"Southeast Asian Peoples",295,Tai,119549,309414,,900,1,Y,Y,1,1,900,1,900,LA,Laos,xxx,"Language unknown",4,"Ethnic Religions",0.0000,0-0.1%,0.0000,0-0.1%,0
18930,Aeka,19,"Pacific Islanders",244,"New Guinea",100082,300061,Aeka,5900,5,,,1,0,0,0,0,PP,"Papua New Guinea",aez,Aeka,1,Christianity,86.0000,50-100%,15.0000,10-50%,
10164,Aeke,19,"Pacific Islanders",243,"New Caledonia",100083,300062,Aeke,400,5,,,1,0,0,0,0,NC,"New Caledonia",fra,French,1,Christianity,100.0000,50-100%,20.0000,10-50%,
11486,Afar,13,"Horn of Africa Peoples",104,Afar,102419,300064,Afar,2970000,1,Y,,3,3,2970000,1,378000,ET,Ethiopia,aar,Afar,6,Islam,0.7240,0.1-2%,0.0100,0-0.1%,
19475,"Afghan Pawinda",21,"South Asian Peoples",462,"South Asia Muslim - other",115237,300065,"Pawinda / Powindah",1900,4,,,1,0,0,0,0,PK,Pakistan,pst,"Pashto, Central",6,Islam,6.1110,5-10%,6.1110,5-10%,
14372,"Afghan, Tajik",14,Persian-Median,299,Tajik,107989,306674,Persian,12732000,1,Y,Y,2,2,12732000,2,12732000,AF,Afghanistan,prs,Dari,6,Islam,0.0100,0-0.1%,0.0100,0-0.1%,19314
19314,"Afghani, general",21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",115238,300066,Afghan,1273200,1,Y,,21,21,1273200,19,817200,TU,"Türkiye (Turkey)",prs,Dari,6,Islam,0.1150,0.1-2%,0.1120,0.1-2%,
10167,Afitti,22,"Sub-Saharan Peoples",249,Nubian,100090,300067,Afitti,5900,1,Y,Y,1,1,5900,1,5900,SU,Sudan,aft,Afitti,6,Islam,0.0000,0-0.1%,0.0000,0-0.1%,
12328,"Afizere, Izere",22,"Sub-Saharan Peoples",140,Benue,104199,303341,"Jarawa, Izere",110000,5,,,1,0,0,0,0,NI,Nigeria,izr,Izere,4,"Ethnic Religions",32.0000,10-50%,18.0000,10-50%,
19530,African-Americans,18,"North American Peoples",330,"Afro-American, Northern",110444,300068,"American, Black",42011000,5,,,1,0,0,0,0,US,"United States",eng,English,1,Christianity,85.0000,50-100%,35.0000,10-50%,
10168,Afrikaner,12,"Eurasian Peoples",175,Germanic,100093,300070,Afrikaner,5023000,5,,,11,0,0,0,0,SF,"South Africa",afr,Afrikaans,1,Christianity,89.6580,50-100%,22.9010,10-50%,
10348,Afro-Antiguan,18,"North American Peoples",330,"Afro-American, Northern",100386,309402,Afro-Antiguan,77600,5,,,2,0,0,0,0,AC,"Antigua and Barbuda",eng,English,1,Christianity,94.8380,50-100%,24.4230,10-50%,
19023,Afro-Argentine,16,"Latin-Caribbean Americans",329,"Afro-American, Hispanic",115011,300071,Afro-Argentine,137000,5,,,1,0,0,0,0,AR,Argentina,spa,Spanish,1,Christianity,97.0000,50-100%,12.0000,10-50%,
19406,Afro-Bahamian,18,"North American Peoples",330,"Afro-American, Northern",115125,300072,Afro-Bahamian,250000,5,,,1,0,0,0,0,BF,Bahamas,bah,"Bahamas English Creole",1,Christianity,96.0000,50-100%,43.4500,10-50%,
19024,Afro-Bolivian,16,"Latin-Caribbean Americans",329,"Afro-American, Hispanic",115012,300073,Afro-Bolivian,25300,5,,,2,0,0,0,0,BL,Bolivia,spa,Spanish,1,Christianity,98.5000,50-100%,12.0000,10-50%,
10889,Afro-Ecuadorian,16,"Latin-Caribbean Americans",329,"Afro-American, Hispanic",115630,300079,Afro-Ecuadorian,441000,3,,,1,0,0,0,0,EC,Ecuador,spa,Spanish,1,Christianity,96.0000,50-100%,0.5000,0.1-2%,
19416,Afro-Grenadian,18,"North American Peoples",330,"Afro-American, Northern",115126,300080,Afro-Grenadian,110100,5,,,2,0,0,0,0,GJ,Grenada,gcl,"Grenadian English Creole",1,Christianity,93.4400,50-100%,20.0000,10-50%,
12118,Afro-Honduran,16,"Latin-Caribbean Americans",329,"Afro-American, Hispanic",103865,300082,Afro-Honduran,215000,5,,,1,0,0,0,0,HO,Honduras,spa,Spanish,1,Christianity,95.0000,50-100%,21.0000,10-50%,
22380,Afro-Iraqi,10,"Arab World",113,"Arab, Levant",119381,309300,Afro-Iraqi,1516000,1,Y,,1,1,1516000,0,0,IZ,Iraq,acm,"Arabic, Mesopotamian",6,Islam,0.6000,0.1-2%,0.3000,0.1-2%,
19417,Afro-Nicaraguan,18,"North American Peoples",330,"Afro-American, Northern",115127,300083,Afro-Nicaraguan,292000,5,,,1,0,0,0,0,NU,Nicaragua,spa,Spanish,1,Christianity,96.0000,50-100%,18.0000,10-50%,
19623,Afro-Paraguayan,16,"Latin-Caribbean Americans",329,"Afro-American, Hispanic",115128,300084,Afro-Paraguayan,71900,4,,,2,0,0,0,0,PA,Paraguay,spa,Spanish,1,Christianity,100.0000,50-100%,6.0000,5-10%,
19624,Afro-Peruvian,16,"Latin-Caribbean Americans",329,"Afro-American, Hispanic",107992,300085,Afro-Peruvian,172400,4,,,2,0,0,0,0,PE,Peru,spa,Spanish,1,Christianity,100.0000,50-100%,7.0000,5-10%,
19625,"Afro-Puerto Rican",16,"Latin-Caribbean Americans",329,"Afro-American, Hispanic",115130,300086,"Afro-Puerto Rican",374000,5,,,1,0,0,0,0,RQ,"Puerto Rico",spa,Spanish,1,Christianity,93.0000,50-100%,30.8880,10-50%,
10169,Afro-Seminole,16,"Latin-Caribbean Americans",329,"Afro-American, Hispanic",100095,300087,Afro-Seminole,800,3,,,2,0,0,0,0,MX,Mexico,afs,"Afro-Seminole Creole",1,Christianity,90.0000,50-100%,2.0000,0.1-2%,
19626,Afro-Uruguayan,16,"Latin-Caribbean Americans",329,"Afro-American, Hispanic",115131,300089,Afro-Uruguayan,69400,4,,,2,0,0,0,0,UY,Uruguay,spa,Spanish,1,Christianity,91.0000,50-100%,6.0000,5-10%,
15794,Afro-Vincentian,18,"North American Peoples",330,"Afro-American, Northern",110570,308617,Vincentian,90800,5,,,2,0,0,0,0,VC,"St Vincent and Grenadines",svc,"Vincentian English Creole",1,Christianity,93.4210,50-100%,45.0970,10-50%,
19409,Afshari,24,"Turkic Peoples",126,Azeri,100096,300091,Afshari,433000,1,Y,Y,2,2,433000,2,433000,IR,Iran,azb,"Azerbaijani, South",6,Islam,0.0010,0-0.1%,0.0010,0-0.1%,
10170,Agala,19,"Pacific Islanders",244,"New Guinea",100097,300092,Agala,1000,4,,,1,0,0,0,0,PP,"Papua New Guinea",agl,Fembe,4,"Ethnic Religions",40.0000,10-50%,7.0000,5-10%,
16172,Agamudaiyan,21,"South Asian Peoples",442,"South Asia Hindu - other",111274,309268,Agamudaiyan,382000,1,Y,,2,1,363000,0,0,IN,India,tam,Tamil,5,Hinduism,1.1390,0.1-2%,,Unknown,
21311,"Agamudaiyan Mukkulattar",21,"South Asian Peoples",442,"South Asia Hindu - other",118143,309268,Agamudaiyan,2100,1,Y,Y,1,1,2100,1,2100,IN,India,tam,Tamil,5,Hinduism,0.0000,0-0.1%,0.0000,0-0.1%,
21312,"Agamudaiyan Nattaman",21,"South Asian Peoples",442,"South Asia Hindu - other",118144,309268,Agamudaiyan,677300,1,Y,,2,1,668000,0,0,IN,India,tam,Tamil,5,Hinduism,0.3920,0.1-2%,,Unknown,
21313,"Agamudaiyan Udayar",21,"South Asian Peoples",442,"South Asia Hindu - other",118145,309268,Agamudaiyan,8700,2,,,1,0,0,0,0,IN,India,tam,Tamil,5,Hinduism,17.9600,10-50%,,Unknown,
10171,Agarabi,19,"Pacific Islanders",244,"New Guinea",100100,300094,Agarabi,55000,5,,,1,0,0,0,0,PP,"Papua New Guinea",agd,Agarabi,1,Christianity,98.0000,50-100%,31.0000,10-50%,
16174,"Agariya (Hindu traditions)",21,"South Asian Peoples",475,"South Asia Tribal - other",111276,309205,"Agariya / Agaria",211000,1,Y,,1,1,211000,0,0,IN,India,agi,Agariya,5,Hinduism,0.2900,0.1-2%,,Unknown,
16175,"Agariya (Muslim traditions)",21,"South Asian Peoples",462,"South Asia Muslim - other",111277,309205,"Agariya / Agaria",17700,1,Y,,2,2,17700,1,16000,IN,India,urd,Urdu,6,Islam,0.1600,0.1-2%,0.1600,0.1-2%,
16176,Agaru,21,"South Asian Peoples",442,"South Asia Hindu - other",111278,300096,Agaru,1700,1,Y,Y,1,1,1700,1,1700,IN,India,tel,Telugu,5,Hinduism,0.0000,0-0.1%,0.0000,0-0.1%,
10172,Agatu,22,"Sub-Saharan Peoples",140,Benue,100103,300098,Agatu,198000,4,,,1,0,0,0,0,NI,Nigeria,agc,Agatu,1,Christianity,56.0000,50-100%,8.0000,5-10%,
10173,Agavotaguerra,16,"Latin-Caribbean Americans",108,Amazon,100104,300100,Agavotaguerra,100,2,,,1,0,0,0,0,BR,Brazil,por,Portuguese,4,"Ethnic Religions",35.0000,10-50%,1.0000,0.1-2%,
16177,Ageer,22,"Sub-Saharan Peoples",245,Nilotic,115239,300102,Ageer,24000,2,,,1,0,0,0,0,OD,"South Sudan",dip,"Dinka, Northeastern",4,"Ethnic Religions",15.0000,10-50%,1.5000,0.1-2%,
19163,"Ager (Hindu traditions)",21,"South Asian Peoples",412,"South Asia Dalit - other",111279,300103,Ager,16300,1,Y,Y,2,2,16300,1,15000,IN,India,kan,Kannada,5,Hinduism,0.0250,0-0.1%,0.0250,0-0.1%,
19476,"Ager (Muslim traditions)",21,"South Asian Peoples",462,"South Asia Muslim - other",115240,300103,Ager,9100,1,Y,,1,1,9100,0,0,PK,Pakistan,snd,Sindhi,6,Islam,0.8020,0.1-2%,0.8020,0.1-2%,
14012,Aggay,17,"Malay Peoples",168,"Filipino, Tribal",107437,305980,"Negrito (Philippine)",1600,4,,,1,0,0,0,0,RP,Philippines,att,"Atta, Pamplona",4,"Ethnic Religions",20.0000,10-50%,7.0000,5-10%,
10175,Aghem,22,"Sub-Saharan Peoples",333,"Bantu, Cameroon-Bamileke",100107,300104,Aghem,54000,4,,,1,0,0,0,0,CM,Cameroon,agq,Aghem,1,Christianity,75.0000,50-100%,7.0000,5-10%,
16178,Aghori,21,"South Asian Peoples",442,"South Asia Hindu - other",111282,300105,Aghori,71000,1,Y,Y,1,1,71000,1,71000,IN,India,hin,Hindi,5,Hinduism,0.0000,0-0.1%,0.0000,0-0.1%,
10176,Aghu,19,"Pacific Islanders",244,"New Guinea",100111,300106,Aghu,5100,5,,,1,0,0,0,0,ID,Indonesia,ahh,Aghu,1,Christianity,70.0000,50-100%,11.0000,10-50%,
10184,Aghul,12,"Eurasian Peoples",157,Caucasus,100126,300118,"Agul (Aghul)",34000,1,Y,Y,1,1,34000,1,34000,RS,Russia,agx,Aghul,6,Islam,0.0050,0-0.1%,0.0050,0-0.1%,
10177,Agi,19,"Pacific Islanders",244,"New Guinea",100113,300107,Agi,1800,5,,,1,0,0,0,0,PP,"Papua New Guinea",aif,Agi,1,Christianity,90.0000,50-100%,22.0000,10-50%,
10178,Agob,19,"Pacific Islanders",244,"New Guinea",100114,300109,Agob,5000,5,,,1,0,0,0,0,PP,"Papua New Guinea",kit,Agob,1,Christianity,96.0000,50-100%,22.0000,10-50%,
