Type,PEID,ROP3,PeopleID3,ROG3,Ctry,JPPeopleGroup,JPPopulation,JPIndigenous,JPROL3,JPPrimaryLanguage,JPRLG3,JPPrimaryReligion,JPScale,JPLeastReached,JP%ChristianAdherent,JP%Evangelical,CPPIPeopleGroup, CPPIPopulation ,CPPIROL,CPPIPrimaryLanguage,CPPIPrimaryReligion,CPPIGSEC,CPPIEvangelicalEngagement
1,47634,114916,19007,AG,Algeria,Deaf,231000,Y,asp,Algerian Sign Language,6,Islam,1,Y,0.28,,Deaf Algerian," 468,000 ",asp,Algerian Sign Language,Ethnoreligion,0,Unengaged
1,11263,103733,12070,AG,Algeria,Hausa,12000,N,hau,Hausa,6,Islam,1,Y,0.00,0.00,Hausa," 12,000 ",hau,Hausa,Islam - Sunni,1,Unengaged
1,11259,103948,12178,AG,Algeria,Idaksahak,3900,N,dsq,Tadaksahak,6,Islam,1,Y,0.00,0.00,Idaksahak," 2,400 ",dsq,Tadaksahak,Islam - Sunni,1,Unengaged
1,42649,108394,14570,AG,Algeria,"Romani, Balkan",4800,Y,arq,"Arabic, Algerian",6,Islam,1,Y,0.09,0.09,"Romani, Vlax"," 4,600 ",rmy,Vlax Romani,Islam - Folk,1,Unengaged
1,11272,108512,14639,AG,Algeria,Sahrawi,176000,Y,mey,Hassaniyya,6,Islam,1,Y,0.01,0.01,Saharawi," 231,000 ",mey,Hassaniyya,Islam - Sunni,1,Engaged
1,11253,109776,15226,AG,Algeria,"Tuareg, Algerian",78000,Y,aao,"Arabic, Algerian Saharan",6,Islam,1,Y,0.01,0.01,"Tuareg, Algerian"," 142,000 ",aao,Algerian Saharan Arabic,Islam - Sunni,1,Engaged
1,11278,113931,15608,AG,Algeria,"Tuareg, Tahaggart",75000,Y,thv,"Tamahaq, Tahaggart",6,Islam,1,Y,0.00,0.00,"Tuareg, Ajjer"," 75,500 ",thv,Tahaggart Tamahaq,Islam - Sunni,1,Engaged
1,50268,114916,19007,AQ,American Samoa,Deaf,200,Y,xxx,Language unknown,1,Christianity,3,,95.10,,American Samoa Deaf, 450 ,und,Undetermined,Unknown,0,Unengaged
1,50231,109692,15175,AQ,American Samoa,"Filipino, Tagalog",500,N,tgl,Tagalog,1,Christianity,5,,98.00,12.00,Filipino," 1,300 ",tgl,Tagalog,Christianity - Roman Catholicism,6,Unengaged
1,50229,108580,14676,AQ,American Samoa,Samoan,37000,Y,smo,Samoan,1,Christianity,5,,98.00,25.94,Samoan," 41,000 ",smo,Samoan,Christianity - Evangelical Protestant,6,Unengaged
1,50230,110155,15554,AQ,American Samoa,Tongan,600,N,ton,Tongan,1,Christianity,5,,96.10,22.00,Tongan," 1,500 ",ton,Tongan,Christianity - Evangelical Protestant,6,Unengaged
1,1,101896,11108,AN,Andorra,"Catalonian, Andorran",35000,Y,cat,Catalan,1,Christianity,3,,96.00,0.59,Andorran," 44,500 ",cat,Catalan,Unaffiliated,1,Unengaged
1,50260,114916,19007,AN,Andorra,Deaf,200,Y,xxx,Language unknown,1,Christianity,3,,90.78,,Deaf of Andorra, 800 ,und,Undetermined,Christianity - Roman Catholicism,0,Unengaged
1,17607,103059,11234,AN,Andorra,French,4600,N,fra,French,1,Christianity,3,,76.00,0.20,French," 4,500 ",fra,French,Unaffiliated,1,Unengaged
1,17608,108129,14449,AN,Andorra,Portuguese,12000,N,por,Portuguese,1,Christianity,4,,95.00,5.04,Portuguese," 11,000 ",por,Portuguese,Christianity - Roman Catholicism,1,Unengaged
1,2,109534,15077,AN,Andorra,Spanish,24000,N,spa,Spanish,1,Christianity,3,,89.00,0.84,Spaniard," 23,000 ",spa,Spanish,Unaffiliated,1,Unengaged
1,15148,100093,10168,AO,Angola,Afrikaner,2500,N,afr,Afrikaans,1,Christianity,5,,97.00,35.00,Afrikaner," 3,700 ",afr,Afrikaans,Christianity - Neo-Pentecostalism,1,Engaged
1,15149,107169,13289,AO,Angola,"Ambo, Ndonga",45000,N,ndo,Ndonga,1,Christianity,5,,95.00,23.00,Ambo," 864,000 ",kua,Oshiwambo,Christianity - Roman Catholicism,1,Engaged
1,15153,101570,10918,AO,Angola,"Bolo, Haka",5900,Y,blv,Kibala,1,Christianity,4,,65.00,7.00,Bolo," 7,300 ",blv,Kibala,Ethnoreligion,1,Engaged
1,15159,103686,19206,AO,Angola,"Chinese, general",57000,N,cmn,"Chinese, Mandarin",7,Non-Religious,1,Y,1.05,0.70,Han Chinese," 3,300 ",cmn,Mandarin Chinese,Ethnoreligion - Confucianism,4,Engaged
1,15155,102181,11365,AO,Angola,Chokwe,2417000,Y,cjk,Chokwe,1,Christianity,5,,85.00,43.80,Chokwe," 1,750,000 ",cjk,Chokwe,Ethnoreligion,1,Engaged
1,47635,114916,19007,AO,Angola,Deaf,378000,Y,xxx,Language unknown,1,Christianity,3,,94.09,,Deaf Angolan," 63,500 ",und,Undetermined,Ethnoreligion,0,Unengaged
1,15157,102579,11545,AO,Angola,Dhimba,36000,Y,dhm,Dhimba,1,Christianity,5,,70.00,25.00,Dhimba," 27,000 ",dhm,Dhimba,Ethnoreligion,1,Unengaged
1,15158,103280,11852,AO,Angola,"Gciriku, Shimbogedu",28000,Y,diu,Gciriku,1,Christianity,5,,50.00,35.00,Gciriku," 49,000 ",diu,Gciriku,Ethnoreligion,1,Unengaged
1,15160,103756,12085,AO,Angola,Herero,28000,Y,her,Herero,1,Christianity,4,,95.00,10.00,Herero," 119,000 ",her,Herero,Ethnoreligion,1,Unengaged
1,15161,103861,12116,AO,Angola,Holu,62000,Y,hol,Holu,4,Ethnic Religions,4,,50.00,4.00,Holu," 64,500 ",hol,Holu,Ethnoreligion,1,Engaged
1,15166,105927,13154,AO,Angola,Kimbundu,9166000,Y,kmb,Kimbundu,1,Christianity,5,,97.30,22.46,"Mbundu, Kimbundu"," 9,200,000 ",kmb,Kimbundu,Ethnoreligion,1,Engaged
1,15167,105179,12774,AO,Angola,Kongo,3912000,Y,kng,Koongo,1,Christianity,5,,94.50,39.31,Kongo," 3,020,000 ",kng,Koongo,Ethnoreligion,4,Engaged
1,15177,105785,13068,AO,Angola,Lingala,164000,N,lin,Lingala,1,Christianity,5,,98.00,18.00,Lingala," 183,000 ",lin,Lingala,Ethnoreligion,1,Engaged
1,15178,105890,13127,AO,Angola,Lozi,9900,N,loz,Lozi,1,Christianity,5,,97.00,12.00,Lozi," 11,000 ",loz,Lozi,Ethnoreligion,1,Engaged
1,15180,105903,13138,AO,Angola,Luchazi,735000,Y,lch,Luchazi,1,Christianity,5,,92.00,45.00,Luchazi," 750,000 ",lch,Luchazi,Ethnoreligion,1,Engaged
1,15181,105915,13146,AO,Angola,Luimbi,124000,Y,lum,Luimbi,1,Christianity,5,,60.00,30.00,Luimbi," 96,500 ",lum,Luimbi,Ethnoreligion,1,Engaged
1,15182,105926,13153,AO,Angola,Lunda,407000,Y,lun,Lunda,1,Christianity,5,,94.00,35.00,Lunda," 368,000 ",lun,Lunda,Ethnoreligion,1,Engaged
1,15185,105947,13168,AO,Angola,"Luvale, Lwena",385000,Y,lue,Luvale,1,Christianity,5,,97.00,24.71,Lwena," 947,000 ",lue,Luvale,Ethnoreligion,1,Engaged
1,15175,105524,12911,AO,Angola,"Luyana, Kwangali",28000,Y,kwn,Kwangali,1,Christianity,5,,90.00,12.00,Kwangali," 30,500 ",kwn,Kwangali,Ethnoreligion,1,Unengaged
1,15188,106459,13617,AO,Angola,Mbangala,776000,Y,mxg,Mbangala,4,Ethnic Religions,2,,50.00,1.50,Mbangala," 704,000 ",mxg,Mbangala,Ethnoreligion,1,Engaged
1,15190,106490,13639,AO,Angola,"Mbukushu, Kusso",17000,Y,mhw,Mbukushu,4,Ethnic Religions,5,,50.00,17.00,Mbukushu," 12,500 ",mhw,Mbukushu,Ethnoreligion,1,Unengaged
1,15191,106495,13643,AO,Angola,Mbunda,368000,Y,mck,Mbunda,1,Christianity,4,,80.00,4.00,Mbunda," 259,000 ",mck,Mbunda,Ethnoreligion,4,Engaged
1,15193,106499,13645,AO,Angola,"Mbwela, Ambuella",605000,Y,mfu,Mbwela,1,Christianity,5,,80.00,27.00,Mbwela," 612,000 ",mfu,Mbwela,Ethnoreligion,1,Engaged
1,15194,107167,13287,AO,Angola,Ndombe,57000,Y,ndq,Ndombe,4,Ethnic Religions,4,,40.00,7.00,Ndombe," 62,500 ",ndq,Ndombe,Ethnoreligion - Animism,1,Engaged
1,15195,107243,13339,AO,Angola,Ngandyera,34000,Y,nne,Ngandjera,1,Christianity,4,,70.00,3.00,Ngandyera," 36,500 ",nne,Ngandjera,Ethnoreligion,1,Engaged
1,15196,107352,13414,AO,Angola,Nkangala,60000,Y,nkn,Nkangala,4,Ethnic Religions,4,,40.00,5.00,Ngangela," 73,500 ",nkn,Nkangala,Ethnoreligion - Animism,4,Engaged
1,15197,107355,13417,AO,Angola,Nkhumbi,808000,Y,khu,Nkumbi,1,Christianity,3,,70.00,0.50,Nkhumbi," 485,000 ",khu,Nkumbi,Ethnoreligion,1,Engaged
1,15199,107538,14084,AO,Angola,Nyaneka,1227000,Y,nyk,Nyaneka,1,Christianity,4,,90.00,8.00,Nyaneka," 970,000 ",nyk,Nyaneka,Ethnoreligion,1,Engaged
1,15200,107553,14092,AO,Angola,"Nyemba, Ngangela",1155000,Y,nba,Nyemba,1,Christianity,3,,85.00,0.20,Nyemba," 612,000 ",nba,Nyemba,Ethnoreligion,1,Engaged
1,15192,110393,15706,AO,Angola,"Ovimbundu, Umbundu",8565000,Y,umb,Umbundu,1,Christianity,5,,96.60,26.96,Ovimbundu," 13,620,000 ",umb,Umbundu,Ethnoreligion,1,Engaged
1,15152,115249,10598,AO,Angola,"Pygmy, Bakwe",27000,Y,kng,Koongo,4,Ethnic Religions,4,,25.00,5.00,Bakwe Pygmy," 26,500 ",bjw,Bakwé,Ethnoreligion,1,Engaged
1,15201,107555,14093,AO,Angola,"Simaa, Nyengo",28000,Y,nye,Nyengo,4,Ethnic Religions,4,,50.00,4.00,Nyengo," 26,000 ",nye,Nyengo,Ethnoreligion,1,Unengaged
1,15205,116076,19052,AO,Angola,"Songo, Nsongo",252000,Y,nsx,Songo (Angola),1,Christianity,5,,80.00,17.00,Songo," 253,000 ",nsx,Songo (Angola),Ethnoreligion,1,Engaged
1,15206,109534,15077,AO,Angola,Spaniard,16000,N,spa,Spanish,1,Christianity,3,,95.00,0.10,Spaniard," 17,500 ",spa,Spanish,Christianity - Roman Catholicism,1,Engaged
1,15207,109586,15109,AO,Angola,Suku,42000,N,sub,Suku,1,Christianity,4,,90.00,3.00,Suku," 18,500 ",sub,Suku,Ethnoreligion,1,Engaged
1,15208,110931,15953,AO,Angola,Yaka,563000,Y,yaf,Yaka (Democratic Republic of the Congo),1,Christianity,5,,94.00,25.00,Yaka," 285,000 ",iyx,Yaka (Congo),Ethnoreligion,4,Engaged
1,15210,111004,16005,AO,Angola,Yauma,48000,Y,yax,Yauma,1,Christianity,4,,60.00,3.00,Yauma," 47,500 ",yax,Yauma,Ethnoreligion,1,Unengaged
1,15211,111088,16051,AO,Angola,Yombe,91000,Y,yom,Kiyombe,1,Christianity,4,,90.00,3.00,Yombe," 89,500 ",yom,Kiyombe,Ethnoreligion,1,Unengaged
1,16186,106882,13862,AV,Anguilla,"Antiguan, mixed",14000,Y,aig,Leeward Caribbean English Creole,1,Christianity,5,,92.90,36.31,Mulatto," 16,500 ",aig,Leeward Caribbean English Creole,Christianity - Non-Evangelical Protestant,5,Unengaged
1,16187,100386,10348,AC,Antigua and Barbuda,Afro-Antiguan,77000,Y,eng,English,1,Christianity,5,,94.90,24.63,Lesser Antillean Creole," 94,000 ",aig,Leeward Caribbean English Creole,Christianity - Folk Catholicism,4,Unengaged
1,16190,106882,13862,AC,Antigua and Barbuda,"Antiguan, mixed",2700,Y,aig,Leeward Caribbean English Creole,1,Christianity,5,,93.00,12.00,White," 1,600 ",eng,English,Unaffiliated - Athiesm,4,Unengaged
1,50254,114916,19007,AC,Antigua and Barbuda,Deaf,500,Y,xxx,Language unknown,1,Christianity,3,,92.51,,Antigua Deaf," 1,000 ",und,Undetermined,Unknown,0,Unengaged
1,42890,115011,19023,AR,Argentina,Afro-Argentine,138000,Y,spa,Spanish,1,Christianity,5,,97.00,12.00,Afro-Argentine," 151,000 ",spa,Spanish,Christianity - Folk Catholicism,6,Unengaged
1,17321,100425,14276,AR,Argentina,"Arab, Palestinian",1200,N,apc,"Arabic, Levantine",6,Islam,2,,32.00,2.00,Arab," 1,560,000 ",spa,Spanish,Islam - Sunni,1,Engaged
1,17324,100492,10421,AR,Argentina,"Argentinian, White",36245000,Y,spa,Spanish,1,Christianity,5,,96.92,12.39,Argentine," 35,940,000 ",spa,Spanish,Christianity - Folk Catholicism,4,Engaged
1,17326,100516,10429,AR,Argentina,Armenian,153000,N,hyw,"Armenian, Western",1,Christianity,4,,90.00,2.50,Armenian," 161,000 ",hye,Armenian,Christianity - Eastern Orthodox,1,Engaged
1,50146,105433,12863,AR,Argentina,Atacameno,16000,Y,spa,Spanish,1,Christianity,4,,60.00,5.00,Atacama," 15,000 ",spa,Spanish,Christianity - Folk Catholicism,4,Unengaged
1,17333,101884,18757,AR,Argentina,Aymara,4500,N,ayr,"Aymara, Central",1,Christianity,3,,65.00,1.00,"Aymara, Central"," 4,400 ",ayr,Central Aymara,Ethnoreligion,4,Engaged
1,17330,101833,11065,AR,Argentina,Belarusian,4100,N,bel,Belarusian,1,Christianity,4,,80.00,4.00,Belarusian," 4,600 ",bel,Belarusian,Unaffiliated,4,Unengaged
1,17329,102927,11140,AR,Argentina,British,9700,N,eng,English,1,Christianity,4,,60.00,7.00,British," 10,000 ",eng,English,Unaffiliated,4,Engaged
1,17332,101896,11108,AR,Argentina,Catalonian,204000,N,cat,Catalan,1,Christianity,3,,96.00,0.70,Catalonian," 230,000 ",cat,Catalan,Christianity - Roman Catholicism,1,Unengaged
1,17335,102014,11306,AR,Argentina,Chane,4900,Y,gui,"Guarani, Eastern Bolivian",4,Ethnic Religions,4,,50.00,8.57,Chane," 1,800 ",gui,Eastern Bolivian Guaraní,Ethnoreligion,5,Engaged
1,50148,116316,20500,AR,Argentina,Charrua,17000,Y,spa,Spanish,4,Ethnic Religions,4,,20.00,3.00,Charrua," 15,500 ",spa,Spanish,Christianity - Folk Catholicism,4,Unengaged
1,42923,115066,19206,AR,Argentina,"Chinese, general",79000,N,cmn,"Chinese, Mandarin",2,Buddhism,2,,31.00,0.50,Han Chinese," 128,000 ",cmn,Mandarin Chinese,Ethnoreligion - Chinese Folk Religion,1,Engaged
